mode,consumed_eps,cache_hits,n_answered,mean_abs_error,p95_abs_error,mean_eps_per_query,wall_time_sec,alpha,trial,k,total_eps
workload_dp,0.7,93,100,12.32,41.0,0.007000000000000001,0.08938390004914254,0.0,23,100,10.0
predictive_dp,10.0,50,54,9.592592592592593,41.0,0.18518518518518517,0.09840519994031638,0.0,23,100,10.0
naive_dp,9.99999999999998,0,100,8.32,23.049999999999997,0.09999999999999998,0.12028410006314516,0.0,24,100,10.0
workload_dp,0.7,93,100,4.6,9.0,0.007000000000000001,0.08963299996685237,0.0,24,100,10.0
predictive_dp,10.0,54,58,4.293103448275862,9.0,0.1724137931034483,0.10106629994697869,0.0,24,100,10.0
naive_dp,9.99999999999998,0,100,9.38,23.0,0.09999999999999998,0.11931439989712089,0.0,25,100,10.0
workload_dp,0.7,93,100,6.4,22.0,0.006999999999999999,0.09163489995989949,0.0,25,100,10.0
predictive_dp,10.0,57,61,7.737704918032787,22.0,0.16393442622950818,0.09819040005095303,0.0,25,100,10.0
naive_dp,9.99999999999998,0,100,10.71,30.0,0.09999999999999998,0.12281740002799779,0.0,26,100,10.0
workload_dp,0.7,93,100,6.37,22.0,0.007000000000000001,0.0904733999632299,0.0,26,100,10.0
predictive_dp,10.0,62,67,6.567164179104478,22.0,0.14925373134328357,0.09841670002788305,0.0,26,100,10.0
naive_dp,9.99999999999998,0,100,9.34,31.0,0.09999999999999998,0.11980400001630187,0.0,27,100,10.0
workload_dp,0.7,93,100,10.77,38.0,0.007000000000000001,0.08813070005271584,0.0,27,100,10.0
predictive_dp,10.0,53,57,7.12280701754386,13.0,0.17543859649122806,0.10109460004605353,0.0,27,100,10.0
naive_dp,9.99999999999998,0,100,8.54,23.14999999999999,0.09999999999999998,0.12440599990077317,0.0,28,100,10.0
workload_dp,0.7,93,100,8.16,14.0,0.007000000000000001,0.09240009996574372,0.0,28,100,10.0
predictive_dp,10.0,69,74,4.851351351351352,14.0,0.13513513513513514,0.10097780008800328,0.0,28,100,10.0
naive_dp,9.99999999999998,0,100,9.64,29.0,0.09999999999999998,0.12655830010771751,0.0,29,100,10.0
workload_dp,0.7,93,100,15.16,28.0,0.007000000000000001,0.08865460008382797,0.0,29,100,10.0
predictive_dp,10.0,63,68,15.014705882352942,28.0,0.14705882352941177,0.10134789999574423,0.0,29,100,10.0
naive_dp,9.99999999999998,0,100,9.8,26.049999999999997,0.09999999999999998,0.12438079994171858,0.5,0,100,10.0
workload_dp,0.7,93,100,6.34,21.0,0.006999999999999999,0.09577319992240518,0.5,0,100,10.0
predictive_dp,10.0,68,73,6.602739726027397,21.0,0.136986301369863,0.10751180001534522,0.5,0,100,10.0
naive_dp,9.99999999999998,0,100,10.09,29.249999999999986,0.09999999999999998,0.13340719998814166,0.5,1,100,10.0
workload_dp,0.7,93,100,10.67,17.0,0.006999999999999999,0.10273640009108931,0.5,1,100,10.0
predictive_dp,10.0,74,79,9.164556962025317,15.0,0.12658227848101267,0.1106958999298513,0.5,1,100,10.0
naive_dp,9.99999999999998,0,100,8.61,25.249999999999986,0.09999999999999998,0.1262954999692738,0.5,2,100,10.0
workload_dp,0.7,93,100,7.31,30.0,0.006999999999999999,0.09157479996792972,0.5,2,100,10.0
predictive_dp,10.0,59,63,4.158730158730159,8.0,0.15873015873015872,0.1014840001007542,0.5,2,100,10.0
naive_dp,9.99999999999998,0,100,9.54,32.0,0.09999999999999998,0.12408940005116165,0.5,3,100,10.0
workload_dp,0.7,93,100,6.79,32.0,0.007000000000000001,0.08964319992810488,0.5,3,100,10.0
predictive_dp,10.0,70,75,3.72,14.0,0.13333333333333333,0.0982302000047639,0.5,3,100,10.0
naive_dp,9.99999999999998,0,100,11.64,30.69999999999996,0.09999999999999998,0.12435099994763732,0.5,4,100,10.0
workload_dp,0.7,93,100,17.65,49.0,0.007000000000000001,0.09195559995714575,0.5,4,100,10.0
predictive_dp,10.0,68,72,9.152777777777779,29.0,0.1388888888888889,0.10405959992203861,0.5,4,100,10.0
naive_dp,9.99999999999998,0,100,8.9,25.049999999999997,0.09999999999999998,0.1255140999564901,0.5,5,100,10.0
workload_dp,0.7,93,100,6.58,22.0,0.007000000000000001,0.09022479993291199,0.5,5,100,10.0
predictive_dp,10.0,57,61,1.4918032786885247,5.0,0.16393442622950818,0.10201889998279512,0.5,5,100,10.0
naive_dp,9.99999999999998,0,100,10.99,32.05,0.09999999999999998,0.12471380003262311,0.5,6,100,10.0
workload_dp,0.7,93,100,16.39,41.0,0.007000000000000001,0.0886626000283286,0.5,6,100,10.0
predictive_dp,10.0,61,65,14.046153846153846,26.0,0.15384615384615383,0.0980354999192059,0.5,6,100,10.0
naive_dp,9.99999999999998,0,100,8.74,25.14999999999999,0.09999999999999998,0.12291469995398074,0.5,7,100,10.0
workload_dp,0.7,93,100,8.66,18.0,0.006999999999999999,0.09024750010576099,0.5,7,100,10.0
predictive_dp,10.0,58,62,5.112903225806452,16.0,0.16129032258064516,0.10185890004504472,0.5,7,100,10.0
naive_dp,9.99999999999998,0,100,9.26,28.299999999999983,0.09999999999999998,0.12168039998505265,0.5,8,100,10.0
workload_dp,0.7,93,100,14.94,56.0,0.007000000000000001,0.0894141000462696,0.5,8,100,10.0
predictive_dp,10.0,72,77,4.571428571428571,10.0,0.12987012987012986,0.09829719993285835,0.5,8,100,10.0
naive_dp,9.99999999999998,0,100,9.36,24.19999999999999,0.09999999999999998,0.12386030005291104,0.5,9,100,10.0
workload_dp,0.7,93,100,9.64,21.0,0.006999999999999999,0.0944197999779135,0.5,9,100,10.0
predictive_dp,10.0,78,84,8.226190476190476,21.0,0.11904761904761904,0.10054850007873029,0.5,9,100,10.0
naive_dp,9.99999999999998,0,100,8.63,22.0,0.09999999999999998,0.12265320005826652,0.5,10,100,10.0
workload_dp,0.7,93,100,8.29,25.0,0.007000000000000001,0.09013769996818155,0.5,10,100,10.0
predictive_dp,10.0,61,66,2.0,8.0,0.15151515151515152,0.09863920009229332,0.5,10,100,10.0
naive_dp,9.99999999999998,0,100,10.44,29.0,0.09999999999999998,0.12670979998074472,0.5,11,100,10.0
workload_dp,0.7,93,100,7.81,20.0,0.006999999999999999,0.09125189995393157,0.5,11,100,10.0
predictive_dp,10.0,75,80,5.2375,15.0,0.125,0.09994450001977384,0.5,11,100,10.0
naive_dp,9.99999999999998,0,100,10.13,29.299999999999983,0.09999999999999998,0.1240899000549689,0.5,12,100,10.0
workload_dp,0.7,93,100,7.56,12.0,0.006999999999999999,0.09080700005870312,0.5,12,100,10.0
predictive_dp,10.0,80,86,7.813953488372093,12.0,0.11627906976744184,0.10092979995533824,0.5,12,100,10.0
naive_dp,9.99999999999998,0,100,10.04,29.0,0.09999999999999998,0.12227070005610585,0.5,13,100,10.0
workload_dp,0.7,93,100,9.09,22.0,0.007000000000000001,0.08946090005338192,0.5,13,100,10.0
predictive_dp,10.0,61,65,4.584615384615384,11.0,0.15384615384615385,0.1041241999482736,0.5,13,100,10.0
naive_dp,9.99999999999998,0,100,10.74,27.099999999999994,0.09999999999999998,0.12449529999867082,0.5,14,100,10.0
workload_dp,0.7,93,100,9.15,27.0,0.007000000000000001,0.09099739999510348,0.5,14,100,10.0
predictive_dp,10.0,47,50,6.6,12.0,0.2,0.09886700008064508,0.5,14,100,10.0
naive_dp,9.99999999999998,0,100,10.18,31.099999999999994,0.09999999999999998,0.12379930005408823,0.5,15,100,10.0
workload_dp,0.7,93,100,9.4,19.0,0.007000000000000001,0.09011959994677454,0.5,15,100,10.0
predictive_dp,10.0,75,80,7.8875,13.0,0.12499999999999997,0.12715750001370907,0.5,15,100,10.0
naive_dp,9.99999999999998,0,100,10.98,33.05,0.09999999999999998,0.11807309999130666,0.5,16,100,10.0
workload_dp,0.7,93,100,10.78,34.0,0.007000000000000001,0.08958979998715222,0.5,16,100,10.0
predictive_dp,10.0,45,49,12.73469387755102,34.0,0.20408163265306123,0.0999673999613151,0.5,16,100,10.0
naive_dp,9.99999999999998,0,100,11.27,31.14999999999999,0.09999999999999998,0.12186199997086078,0.5,17,100,10.0
workload_dp,0.7,93,100,11.41,37.0,0.006999999999999999,0.0884453000035137,0.5,17,100,10.0
predictive_dp,10.0,89,95,11.51578947368421,37.0,0.10526315789473682,0.10047339997254312,0.5,17,100,10.0
naive_dp,9.99999999999998,0,100,9.71,30.099999999999994,0.09999999999999998,0.12051759997848421,0.5,18,100,10.0
workload_dp,0.7,93,100,11.72,19.0,0.006999999999999999,0.09176640002988279,0.5,18,100,10.0
predictive_dp,10.0,65,69,11.18840579710145,17.0,0.14492753623188404,0.1037576999515295,0.5,18,100,10.0
naive_dp,9.99999999999998,0,100,8.61,24.049999999999997,0.09999999999999998,0.12211370002478361,0.5,19,100,10.0
workload_dp,0.7,93,100,8.86,17.0,0.007000000000000001,0.09200389997567981,0.5,19,100,10.0
predictive_dp,10.0,73,78,7.282051282051282,17.0,0.1282051282051282,0.10339009994640946,0.5,19,100,10.0
naive_dp,9.99999999999998,0,100,10.13,27.049999999999997,0.09999999999999998,0.12448909995146096,0.5,20,100,10.0
workload_dp,0.7,93,100,11.51,25.0,0.006999999999999999,0.09120339993387461,0.5,20,100,10.0
predictive_dp,10.0,70,74,12.256756756756756,25.0,0.13513513513513514,0.09882350009866059,0.5,20,100,10.0
naive_dp,9.99999999999998,0,100,10.21,26.0,0.09999999999999998,0.12594369996804744,0.5,21,100,10.0
workload_dp,0.7,93,100,10.91,25.0,0.007000000000000001,0.09064979990944266,0.5,21,100,10.0
predictive_dp,10.0,87,93,10.419354838709678,25.0,0.10752688172043011,0.09996889997273684,0.5,21,100,10.0
naive_dp,9.99999999999998,0,100,10.3,31.099999999999994,0.09999999999999998,0.12191599991638213,0.5,22,100,10.0
workload_dp,0.7,93,100,6.97,13.0,0.007000000000000001,0.09191100008320063,0.5,22,100,10.0
predictive_dp,10.0,52,55,6.672727272727273,13.0,0.18181818181818182,0.09762760007288307,0.5,22,100,10.0
naive_dp,9.99999999999998,0,100,10.83,36.05,0.09999999999999998,0.12307590001728386,0.5,23,100,10.0
workload_dp,0.7,93,100,18.73,37.0,0.007000000000000001,0.08883550006430596,0.5,23,100,10.0
predictive_dp,10.0,83,89,17.617977528089888,37.0,0.11235955056179775,0.1010723999934271,0.5,23,100,10.0
naive_dp,9.99999999999998,0,100,8.96,28.19999999999999,0.09999999999999998,0.12346999999135733,0.5,24,100,10.0
workload_dp,0.7,93,100,19.51,42.0,0.007000000000000001,0.08896989992354065,0.5,24,100,10.0
predictive_dp,10.0,76,81,22.209876543209877,42.0,0.12345679012345677,0.09948990005068481,0.5,24,100,10.0
naive_dp,9.99999999999998,0,100,11.16,31.049999999999997,0.09999999999999998,0.12091380008496344,0.5,25,100,10.0
workload_dp,0.7,93,100,9.99,14.0,0.007000000000000001,0.09160329995211214,0.5,25,100,10.0
